Nos,Question,A,B,C,ANS
1,What is the process of converting code into machine code?,Compilation,Transmission,Reflection,Compilation
2,Which programming language is used for web development?,Python,Ruby,JavaScript,JavaScript
3,What is the default file extension for a Microsoft PowerPoint presentation?,.ppt,.doc,.xlsx,.ppt
4,What is the term for a program that replicates itself and spreads to other computers?,Virus,Malware,Firewall,Virus
5,What is the name given to the binary digit 0 or 1?,Byte,Bit,Pixel,Bit
6,Which device is used to input data into a computer?,Monitor,Keyboard,Printer,Keyboard
7,What does the acronym CSS stand for in web development?,Complex Style,Cascading,Creative,Cascading
8,Which programming language is often used for statistical analysis and data manipulation?,MATLAB,Java,R,R
9,What is the process of translating domain names into IP addresses called?,Decapsulation,Encryption,Domain Name Resolution,Domain Name Resolution
10,What type of software allows users to browse the internet?,Antivirus,Firewall,Browser,Browser
