Nos,Question,A,B,C,ANS
1,Which country is known for the Taj Mahal?,India,China,Egypt,India
2,Who was the first President of the United States?,George Washington,Thomas Jefferson,Abraham Lincoln,George Washington
3,What is the capital city of Australia?,Canberra,Sydney,Melbourne,Canberra
4,Which war occurred from 1939 to 1945?,World War II,World War I,Korean War,World War II
5,Who is often credited with inventing the telephone?,Alexander Graham Bell,Thomas Edison,Nikola Tesla,Alexander Graham Bell
6,Who painted the Mona Lisa?,Leonardo da Vinci,Vincent van Gogh,Pablo Picasso,Leonardo da Vinci
7,What year did the United States declare its independence?,1776,1812,1492,1776
8,Which city is the Great Wall of China located near?,Beijing,Shanghai,Hong Kong,Beijing
9,Who was the first man to walk on the moon?,Neil Armstrong,Buzz Aldrin,Yuri Gagarin,Neil Armstrong
10,What is the largest ocean on Earth?,Pacific,Atlantic,Indian,Pacific
